Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z
2024-06-01 22:35:30	151709871.58003917	-0.9389769113731734	0.3425922566353309	0.03086916911106158	0.9389769113731734	-0.3425922566353309	-0.03086916911106158
2024-06-01 22:36:00	151709551.45097193	-0.9394598557684648	0.3426580867927635	0.000784190677287966	0.9394598557684648	-0.3426580867927635	-0.000784190677287966
2024-06-01 22:36:30	151709238.2369145	-0.9390322643870239	0.34258521274609544	-0.029219487467972427	0.9390322643870239	-0.34258521274609544	0.029219487467972427
2024-06-01 22:37:00	151709247.919319	-0.9375968999862192	0.342646275963573	-0.05920796149612663	0.9375968999862192	-0.342646275963573	0.05920796149612663
2024-06-01 22:37:30	151708948.16522738	-0.9352101081793908	0.34267816799514084	-0.08918366856429938	0.9352101081793908	-0.34267816799514084	0.08918366856429938
2024-06-01 22:38:00	151708655.22986564	-0.9318828351342275	0.3426717959469311	-0.11903958100018215	0.9318828351342275	-0.3426717959469311	0.11903958100018215
2024-06-01 22:38:30	151708368.99619716	-0.9276235647280542	0.3426132272255016	-0.14876390251450175	0.9276235647280542	-0.3426132272255016	0.14876390251450175
2024-06-01 22:39:00	151708466.7460297	-0.9223822775186609	0.34266703390067005	-0.17829817160365288	0.9223822775186609	-0.34266703390067005	0.17829817160365288
2024-06-01 22:39:30	151708193.87694943	-0.91623024450789	0.34262346975251773	-0.20768075747107131	0.91623024450789	-0.34262346975251773	0.20768075747107131
2024-06-01 22:40:00	151708243.680366	-0.9091188802498155	0.34263416693600424	-0.23686428439381152	0.9091188802498155	-0.34263416693600424	0.23686428439381152
2024-06-01 22:40:30	151707983.8907403	-0.901053293184935	0.3426980332413012	-0.26582140781571334	0.901053293184935	-0.3426980332413012	0.26582140781571334
2024-06-01 22:41:00	151707730.71181285	-0.8921098762662496	0.3427036257969738	-0.29443877722512124	0.8921098762662496	-0.3427036257969738	0.29443877722512124
2024-06-01 22:41:30	151716188.5292864	-0.8822369188694699	0.3427152373016059	-0.32280688515737765	0.8822369188694699	-0.3427152373016059	0.32280688515737765
2024-06-01 22:42:00	151715948.06323817	-0.8715229085674903	0.34263060689505886	-0.35078780916785834	0.8715229085674903	-0.34263060689505886	0.35078780916785834
2024-06-01 22:42:30	151715713.99163902	-0.8598428931630886	0.3427027304375586	-0.3784508391159566	0.8598428931630886	-0.3427027304375586	0.3784508391159566
2024-06-01 22:43:00	151715802.07032627	-0.847351810830733	0.34262694143243705	-0.4057113354178451	0.847351810830733	-0.34262694143243705	0.4057113354178451
2024-06-01 22:43:30	151715957.56528074	-0.8339202376151951	0.3426901922064983	-0.43259735258238685	0.8339202376151951	-0.3426901922064983	0.43259735258238685
2024-06-01 22:44:00	151715741.71599776	-0.8197119105595635	0.34267199917594965	-0.45896436099935733	0.8197119105595635	-0.34267199917594965	0.45896436099935733
2024-06-01 22:44:30	151715531.85488364	-0.8046028386280847	0.34277852209648363	-0.4848888087602959	0.8046028386280847	-0.34277852209648363	0.4848888087602959
2024-06-01 22:45:00	151715327.69654155	-0.7887538867372698	0.3426223203916558	-0.5103697206205399	0.7887538867372698	-0.3426223203916558	0.5103697206205399
2024-06-01 22:45:30	151715129.24115142	-0.772042989451825	0.342656909686656	-0.5352904488988015	0.772042989451825	-0.342656909686656	0.5352904488988015
2024-06-01 22:46:00	151715252.4092311	-0.7545660718731775	0.3427371294973208	-0.5596081693844538	0.7545660718731775	-0.3427371294973208	0.5596081693844538
2024-06-01 22:46:30	151715064.97076228	-0.7363360235804658	0.342673714279005	-0.5834243617813184	0.7363360235804658	-0.342673714279005	0.5834243617813184
2024-06-01 22:47:00	151714882.8321567	-0.7173184837326011	0.34269406456539636	-0.6066423748859043	0.7173184837326011	-0.34269406456539636	0.6066423748859043
2024-06-01 22:47:30	151714705.86854655	-0.6975963558399456	0.3427541049702852	-0.6291891192994734	0.6975963558399456	-0.3427541049702852	0.6291891192994734
2024-06-01 22:48:00	151714911.26022184	-0.6771901075600647	0.34274371511981266	-0.6511069835047517	0.6771901075600647	-0.34274371511981266	0.6511069835047517
2024-06-01 22:48:30	151714744.1205615	-0.6560697434600129	0.34268934885538493	-0.672410962059205	0.6560697434600129	-0.34268934885538493	0.672410962059205
2024-06-01 22:49:00	151714897.7575167	-0.63426207455444	0.34280981413648426	-0.6929596323838838	0.63426207455444	-0.34280981413648426	0.6929596323838838
2024-06-01 22:49:30	151714739.96372998	-0.6118492185309748	0.34272708995057827	-0.712866520182456	0.6118492185309748	-0.34272708995057827	0.712866520182456
2024-06-01 22:50:00	151714586.56733248	-0.5888015555768018	0.3428237435978246	-0.7319730930682573	0.5888015555768018	-0.3428237435978246	0.7319730930682573
2024-06-01 22:50:30	151714437.4057154	-0.565220451128251	0.3427004717991589	-0.7503880517805507	0.565220451128251	-0.3427004717991589	0.7503880517805507
2024-06-01 22:51:00	151714292.2846722	-0.5409932672912792	0.34276881876601795	-0.7680076963333475	0.5409932672912792	-0.34276881876601795	0.7680076963333475
2024-06-01 22:51:30	151714151.0415933	-0.5162236463268773	0.34274645881289506	-0.7848808902911344	0.5162236463268773	-0.34274645881289506	0.7848808902911344
2024-06-01 22:52:00	151714329.52422154	-0.49094762098304434	0.3427594457830808	-0.8009284585888834	0.49094762098304434	-0.3427594457830808	0.8009284585888834
2024-06-01 22:52:30	151714572.83090594	-0.4651874127511362	0.34281785693087224	-0.8161351530152519	0.4651874127511362	-0.34281785693087224	0.8161351530152519
2024-06-01 22:53:00	151714442.25787896	-0.43900345817869096	0.34263347631039304	-0.830589106970833	0.43900345817869096	-0.34263347631039304	0.830589106970833
2024-06-01 22:53:30	151714314.6989385	-0.41227777822880146	0.34277554426919055	-0.844116081963662	0.41227777822880146	-0.34277554426919055	0.844116081963662
2024-06-01 22:54:00	151714190.14785755	-0.38518573377914916	0.34281052970930337	-0.8568038814182888	0.38518573377914916	-0.34281052970930337	0.8568038814182888
2024-06-01 22:54:30	151714068.34110072	-0.35771237238219183	0.34273202990192086	-0.8686636946045421	0.35771237238219183	-0.34273202990192086	0.8686636946045421
2024-06-01 22:55:00	151714265.04737598	-0.32990250161329504	0.3426838644922721	-0.8796204343044403	0.32990250161329504	-0.3426838644922721	0.8796204343044403
2024-06-01 22:55:30	151714148.16095597	-0.3017282055863307	0.34266943312063436	-0.8896840728924151	0.3017282055863307	-0.34266943312063436	0.8896840728924151
2024-06-01 22:56:00	151714033.4247127	-0.2732540702056151	0.3426851386163814	-0.8988320804730638	0.2732540702056151	-0.3426851386163814	0.8988320804730638
2024-06-01 22:56:30	151714298.12388572	-0.2444950143444097	0.3427308463014751	-0.9070599511356465	0.2444950143444097	-0.3427308463014751	0.9070599511356465
2024-06-01 22:57:00	151714187.0827876	-0.21555481449019762	0.34265955154201766	-0.9143962782552869	0.21555481449019762	-0.34265955154201766	0.9143962782552869
2024-06-01 22:57:30	151714077.61539027	-0.18634711842387935	0.3426024023152308	-0.9208139580734804	0.18634711842387935	-0.3426024023152308	0.9208139580734804
2024-06-01 22:58:00	151714285.3505903	-0.1569508391001375	0.3427230282388522	-0.9262328864926755	0.1569508391001375	-0.3427230282388522	0.9262328864926755
2024-06-01 22:58:30	151714178.3515224	-0.12740943030932797	0.34272006483219963	-0.9307576452705966	0.12740943030932797	-0.34272006483219963	0.9307576452705966
2024-06-01 22:59:00	151714072.23883486	-0.09772510406374475	0.34272905495669675	-0.9343375187394649	0.09772510406374475	-0.34272905495669675	0.9343375187394649
2024-06-01 22:59:30	151713966.84451184	-0.06796130004745354	0.3427667629529989	-0.936959021468166	0.06796130004745354	-0.3427667629529989	0.936959021468166
2024-06-01 23:00:00	151713861.9543495	-0.03816144432354118	0.34267407514802295	-0.9386789559740799	0.03816144432354118	-0.34267407514802295	0.9386789559740799
2024-06-01 23:00:30	151722462.43581605	-0.008321348569048094	0.34261254526881313	-0.939439938996857	0.008321348569048094	-0.34261254526881313	0.939439938996857
2024-06-01 23:01:00	151723051.10715902	0.021546764400473043	0.34270217485635635	-0.9391969741713365	-0.021546764400473043	-0.34270217485635635	0.9391969741713365
2024-06-01 23:01:30	151722946.4371074	0.0514021586344086	0.3426442815462354	-0.9380579483226967	-0.0514021586344086	-0.3426442815462354	0.9380579483226967
2024-06-01 23:02:00	151722841.3350894	0.08115733619977877	0.34261564953670287	-0.9359636763643657	-0.08115733619977877	-0.34261564953670287	0.9359636763643657
2024-06-01 23:02:30	151722735.58150548	0.1108442397558579	0.3425959689692437	-0.9329209808761784	-0.1108442397558579	-0.3425959689692437	0.9329209808761784
2024-06-01 23:03:00	151722629.15889442	0.1404650263142242	0.3427327481831891	-0.928872348444792	-0.1404650263142242	-0.3427327481831891	0.928872348444792
2024-06-01 23:03:30	151722521.63581964	0.1699037391161568	0.34273328501445394	-0.9239408069663068	-0.1699037391161568	-0.34273328501445394	0.9239408069663068
2024-06-01 23:04:00	151722728.77757305	0.19916050272211155	0.3427373043100629	-0.9180774664426458	-0.19916050272211155	-0.3427373043100629	0.9180774664426458
2024-06-01 23:04:30	151722618.69183522	0.22821802950615744	0.3426016172390831	-0.9113400369091066	-0.22821802950615744	-0.3426016172390831	0.9113400369091066
2024-06-01 23:05:00	151722506.9293809	0.25704185385695044	0.3426274715880133	-0.9036237607981474	-0.25704185385695044	-0.3426274715880133	0.9036237607981474
2024-06-01 23:05:30	151722770.7188052	0.28559575683560257	0.3425103237418141	-0.8950540440709585	-0.28559575683560257	-0.3425103237418141	0.8950540440709585
2024-06-01 23:06:00	151722655.12416413	0.3138922555342287	0.3426912717215872	-0.8854571385456643	-0.3138922555342287	-0.3426912717215872	0.8854571385456643
2024-06-01 23:06:30	151722537.26551175	0.34183111640110536	0.3425855137139955	-0.8750923686407578	-0.34183111640110536	-0.3425855137139955	0.8750923686407578
2024-06-01 23:07:00	151722732.75520748	0.36944540000412684	0.34262549615663523	-0.8637811446189426	-0.36944540000412684	-0.34262549615663523	0.8637811446189426
2024-06-01 23:07:30	151722609.85579205	0.3966833407135456	0.34266958279429255	-0.8515984289722043	-0.3966833407135456	-0.34266958279429255	0.8515984289722043
2024-06-01 23:08:00	151722484.0595225	0.42350973043283713	0.34257999582756976	-0.8386169892671432	-0.42350973043283713	-0.34257999582756976	0.8386169892671432
2024-06-01 23:08:30	151722355.32298496	nan	nan	nan	nan	nan	nan
2024-06-01 23:09:00	151722223.31939757	nan	nan	nan	nan	nan	nan
2024-06-01 23:09:30	151722087.96368563	nan	nan	nan	nan	nan	nan
2024-06-01 23:10:00	151722642.2046131	nan	nan	nan	nan	nan	nan
2024-06-01 23:10:30	151722499.43154895	nan	nan	nan	nan	nan	nan
2024-06-01 23:11:00	151722352.90012982	nan	nan	nan	nan	nan	nan
2024-06-01 23:11:30	151722202.1386499	nan	nan	nan	nan	nan	nan
2024-06-01 23:12:00	151722047.1221183	nan	nan	nan	nan	nan	nan
2024-06-01 23:12:30	151721887.75911197	nan	nan	nan	nan	nan	nan
2024-06-01 23:13:00	151722039.55499592	nan	nan	nan	nan	nan	nan
2024-06-01 23:13:30	151721870.8052239	nan	nan	nan	nan	nan	nan
2024-06-01 23:14:00	151721697.19868764	nan	nan	nan	nan	nan	nan
2024-06-01 23:14:30	151721895.9826537	nan	nan	nan	nan	nan	nan
2024-06-01 23:15:00	151721712.2674844	nan	nan	nan	nan	nan	nan
2024-06-01 23:15:30	151721523.1926097	nan	nan	nan	nan	nan	nan
2024-06-01 23:16:00	151721644.40206987	nan	nan	nan	nan	nan	nan
2024-06-01 23:16:30	151721444.28525794	nan	nan	nan	nan	nan	nan
2024-06-01 23:17:00	151721238.66551632	nan	nan	nan	nan	nan	nan
2024-06-01 23:17:30	151721027.09375316	nan	nan	nan	nan	nan	nan
2024-06-01 23:18:00	151720809.77026868	nan	nan	nan	nan	nan	nan
2024-06-01 23:18:30	151720963.87510654	nan	nan	nan	nan	nan	nan
2024-06-01 23:19:00	151721050.14210624	nan	nan	nan	nan	nan	nan
2024-06-01 23:19:30	151720814.56662652	nan	nan	nan	nan	nan	nan
2024-06-01 23:20:00	151729278.58706164	nan	nan	nan	nan	nan	nan
2024-06-01 23:20:30	151729030.45747152	nan	nan	nan	nan	nan	nan
2024-06-01 23:21:00	151728775.86616892	nan	nan	nan	nan	nan	nan
2024-06-01 23:21:30	151728515.00728863	nan	nan	nan	nan	nan	nan
2024-06-01 23:22:00	151728563.18040264	nan	nan	nan	nan	nan	nan
2024-06-01 23:22:30	151728289.10179803	nan	nan	nan	nan	nan	nan
2024-06-01 23:23:00	151728385.88360164	nan	nan	nan	nan	nan	nan
2024-06-01 23:23:30	151728098.60944524	nan	nan	nan	nan	nan	nan
2024-06-01 23:24:00	151727804.62646687	nan	nan	nan	nan	nan	nan
2024-06-01 23:24:30	151727504.10342053	nan	nan	nan	nan	nan	nan
2024-06-01 23:25:00	151727512.33876604	nan	nan	nan	nan	nan	nan
2024-06-01 23:25:30	151727198.31978875	nan	nan	nan	nan	nan	nan
2024-06-01 23:26:00	151726877.5559403	nan	nan	nan	nan	nan	nan
2024-06-01 23:26:30	151726550.0480367	nan	nan	nan	nan	nan	nan
2024-06-01 23:27:00	151726215.83386064	nan	nan	nan	nan	nan	nan
2024-06-01 23:27:30	151726252.35354814	nan	nan	nan	nan	nan	nan
2024-06-01 23:28:00	151726220.36686033	nan	nan	nan	nan	nan	nan
2024-06-01 23:28:30	151725866.2739444	nan	nan	nan	nan	nan	nan
2024-06-01 23:29:00	151725505.4764754	nan	nan	nan	nan	nan	nan
2024-06-01 23:29:30	151725138.11927816	nan	nan	nan	nan	nan	nan
2024-06-01 23:30:00	151724764.30182448	nan	nan	nan	nan	nan	nan
2024-06-01 23:30:30	151724384.0818773	nan	nan	nan	nan	nan	nan
2024-06-01 23:31:00	151724312.9766143	nan	nan	nan	nan	nan	nan
2024-06-01 23:31:30	151723919.9545707	nan	nan	nan	nan	nan	nan
2024-06-01 23:32:00	151723898.20780244	nan	nan	nan	nan	nan	nan
2024-06-01 23:32:30	151723492.87735558	nan	nan	nan	nan	nan	nan
2024-06-01 23:33:00	151723081.52841073	nan	nan	nan	nan	nan	nan
2024-06-01 23:33:30	151722664.16415498	nan	nan	nan	nan	nan	nan
2024-06-01 23:34:00	151722556.55123115	nan	nan	nan	nan	nan	nan
2024-06-01 23:34:30	151722127.63146555	nan	nan	nan	nan	nan	nan
2024-06-01 23:35:00	151721693.04172838	nan	nan	nan	nan	nan	nan
2024-06-01 23:35:30	151721252.89660594	nan	nan	nan	nan	nan	nan
2024-06-01 23:36:00	151720807.52154922	nan	nan	nan	nan	nan	nan
2024-06-01 23:36:30	151720734.1392109	nan	nan	nan	nan	nan	nan
2024-06-01 23:37:00	151720593.84880507	nan	nan	nan	nan	nan	nan
2024-06-01 23:37:30	151720133.0312944	nan	nan	nan	nan	nan	nan
2024-06-01 23:38:00	151719667.3603713	nan	nan	nan	nan	nan	nan
2024-06-01 23:38:30	151719196.94931224	nan	nan	nan	nan	nan	nan
2024-06-01 23:39:00	151727428.75550553	nan	nan	nan	nan	nan	nan
2024-06-01 23:39:30	151726949.52414218	nan	nan	nan	nan	nan	nan
2024-06-01 23:40:00	151726781.69256678	nan	nan	nan	nan	nan	nan
2024-06-01 23:40:30	151726671.66114417	nan	nan	nan	nan	nan	nan
2024-06-01 23:41:00	151726180.4130245	nan	nan	nan	nan	nan	nan
2024-06-01 23:41:30	151725685.41411275	nan	nan	nan	nan	nan	nan
2024-06-01 23:42:00	151725187.06423783	nan	nan	nan	nan	nan	nan
2024-06-01 23:42:30	151724685.30793524	0.43484351265113874	0.34272493078484606	0.8327368980198618	-0.43484351265113874	-0.34272493078484606	-0.8327368980198618
