Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1	angPanel_2	angPanel_3	angPanel_4
2023-12-21 00:25:03	147170354.61459228	147.78146127798385	64.71311292784333	71.394693493432	32.21853872201615	115.28688707215667	108.605306506568	23.180710665187537	27.821803008642	27.858180486791095	27.142242629860167
2023-12-21 00:25:12	147170326.25645602	148.0920885835403	64.71343065653065	71.86147418717019	31.907911416459715	115.28656934346934	108.13852581282981	23.58567481922909	27.589602786608623	27.621142815661113	26.89474593523404
2023-12-21 00:25:20	147170298.46753561	148.3984447617325	64.71154067733148	72.33264288155557	31.601555238267512	115.28845932266853	107.66735711844444	23.99417851268333	27.35773789712107	27.384341186447113	26.64745887988791
2023-12-21 00:25:29	147170273.81440538	148.69898369994104	64.71244162669417	72.7994291992586	31.30101630005896	115.28755837330584	107.20057080074142	24.401733925047722	27.134604371345937	27.156227207574045	26.408956070889243
2023-12-21 00:25:37	147170247.06965545	148.99415069273584	64.71032675061198	73.27058763267402	31.005849307264164	115.28967324938802	106.729412367326	24.81221458906597	26.91140235174279	26.927950896746133	26.17029370840426
2023-12-21 00:25:46	147170223.37774304	149.28393406846232	64.71173578036623	73.7372583483497	30.7160659315377	115.28826421963379	106.26274165165032	25.2219133112948	26.697747680799257	26.709177192760233	25.94124171166377
2023-12-21 00:25:55	147170197.59455624	149.56812413629342	64.71030458406325	74.20835162389028	30.43187586370657	115.28969541593676	105.79164837610972	25.634620773681963	26.484394927372147	26.490609750863673	25.712413133136025
2023-12-21 00:26:03	147170172.39134273	149.84660396086042	64.71217337634668	74.67496642750909	30.153396039139583	115.28782662365332	105.32503357249091	26.04622363899252	26.28058021536657	26.281541222371235	25.493217046762272
2023-12-21 00:26:12	147170150.24040815	150.11919252643906	64.71142888519569	75.14587191615531	29.88080747356094	115.28857111480431	104.85412808384469	26.460797135980265	26.077576428496986	26.073188633074388	25.274774301189428
2023-12-21 00:26:21	147170126.0120852	150.38495761027733	64.71009473501178	75.6167978858219	29.615042389722692	115.28990526498823	104.3832021141781	26.87578392458598	25.87907467550045	25.869277851964775	25.060885521081698
2023-12-21 00:26:29	147170104.9353641	150.64530024757588	64.71272324301842	76.08307534574307	29.354699752424157	115.2872767569816	103.91692465425693	27.289660369469456	25.69100821245424	25.675768533673136	24.857563764019773
2023-12-21 00:26:38	147170081.68847224	150.89849491288592	64.71200323746774	76.55376085306847	29.1015050871141	115.28799676253227	103.44623914693153	27.706116733570994	25.503462690665106	25.482691300245634	24.65475269857104
2023-12-21 00:26:47	147170059.0295001	151.14519673358365	64.71163288516604	77.0243535282446	28.854803266416354	115.28836711483396	102.97564647175541	28.123300306789787	25.321600632261323	25.2952384833715	24.457706405485844
2023-12-21 00:26:55	147170039.5255498	151.38522450065489	64.71163162798271	77.49475516978028	28.614775499345136	115.28836837201732	102.50524483021972	28.541089685099273	25.14558924642517	25.11358098269031	24.26661137110991
2023-12-21 00:27:04	147170017.87724116	151.6184105259862	64.70962431281544	77.96942057454734	28.381589474013822	115.29037568718458	102.03057942545267	28.96208857587107	24.971815618508707	24.934068625571705	24.07776806888845
2023-12-21 00:27:12	147169996.79017675	151.8445749222647	64.71033045318411	78.43950822824159	28.155425077735284	115.2896695468159	101.5604917717584	29.381025884157687	24.80782095122278	24.764324636542508	23.89894073096398
2023-12-21 00:27:21	147169978.8124126	152.06282075896314	64.71048573349834	78.90952892549383	27.937179241036866	115.28951426650168	101.09047107450618	29.800059003095743	24.649125455234298	24.599837578668698	23.725575629472647
2023-12-21 00:27:30	147169958.73600397	152.27373622906097	64.71092391656441	79.37941777380051	27.72626377093904	115.28907608343557	100.62058222619952	30.21955811466206	24.496609273364214	24.44148709290881	23.558560490868036
2023-12-21 00:27:38	147169941.77111772	152.4772863862129	64.7097824402404	79.85359342684748	27.522713613787086	115.2902175597596	100.1464065731525	30.642450248950826	24.347299397983182	24.28625827853047	23.394831615328
2023-12-21 00:27:47	147169922.79707977	152.67319002582263	64.71095062874649	80.32327769008278	27.326809974177383	115.28904937125351	99.67672230991721	31.06293882026426	24.207638324019214	24.140687104199824	23.241067616959057
2023-12-21 00:27:56	147169904.36951232	152.85998869482438	64.70959406217422	80.79628428786634	27.140011305175598	115.29040593782581	99.20371571213367	31.485431898837795	24.0708692211446	23.997947230808244	23.090355722991866
2023-12-21 00:28:04	147169888.92143524	153.03939356101583	64.71057697656238	81.26568081289426	26.960606438984172	115.28942302343762	98.73431918710575	31.906246838194793	23.943622392765537	23.864737466793265	22.949493895535145
2023-12-21 00:28:13	147169871.54427162	153.21068614073636	64.71022482525152	81.73922182611128	26.789313859263665	115.28977517474848	98.26077817388875	32.33039813724291	23.820438052033396	23.735521595817616	22.812859240058987
2023-12-21 00:28:22	147169857.19821355	153.37248278666343	64.7093172934328	82.2117084778909	26.62751721333657	115.29068270656722	97.78829152210913	32.753623745234286	23.703546779230106	23.612597129207824	22.682843175198364
2023-12-21 00:28:30	147169840.92340845	153.52632576267564	64.70897705716958	82.68488542215263	26.473674237324357	115.29102294283042	97.3151145778474	33.17803661998934	23.593676032737275	23.496669805227206	22.56013454316203
2023-12-21 00:28:39	147169825.06358644	153.67125612097303	64.7089472092692	83.15696083338963	26.328743879026977	115.29105279073082	96.84303916661035	33.60187477011041	23.491081819694152	23.38802532163275	22.445061253141386
