Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z	cosPanel_1	cosPanel_2	cosPanel_3	cosPanel_4
2023-12-21 00:38:00	147169995.2077323	-0.8099462460503906	0.427273514999351	-0.4017765820564705	0.8099462460503906	-0.427273514999351	0.4017765820564705	0.48234334428440184	0.8571883226763357	0.8600144538695904	0.8653236771208286
2023-12-21 00:38:09	147170016.14296737	-0.8062553514237817	0.42731041101887873	-0.4090942690082465	0.8062553514237817	-0.42731041101887873	0.4090942690082465	0.47600883867353166	0.8547178538741956	0.8575675464230363	0.8628293646402121
2023-12-21 00:38:18	147170035.09695652	-0.8024928356863187	0.4272927278232822	-0.41644468230662957	0.8024928356863187	-0.4272927278232822	0.41644468230662957	0.469582576705463	0.8521587825216669	0.8550321269599758	0.860246267174932
2023-12-21 00:38:26	147170057.13719085	-0.7986709343501768	0.4272957875440099	-0.42372520407849246	0.7986709343501768	-0.4272957875440099	0.42372520407849246	0.4631743562659851	0.8495757925205893	0.852472288552051	0.8576377522959767
2023-12-21 00:38:35	147170077.010498	-0.7947789357188754	0.42725743325214355	-0.43101917482678426	0.7947789357188754	-0.42725743325214355	0.43101917482678426	0.45669398997279637	0.8469151011015971	0.8498347285272259	0.8549511082010046
2023-12-21 00:38:44	147170097.32623407	-0.7908239015948406	0.42725322920651543	-0.4382376464875179	0.7908239015948406	-0.42725322920651543	0.4382376464875179	0.4502405361932934	0.8442380556912334	0.8471802512930605	0.8522463451192843
2023-12-21 00:38:52	147170120.76490334	-0.786801533421881	0.42727992754901556	-0.4453933211428803	0.786801533421881	-0.42727992754901556	0.4453933211428803	0.4438023044525778	0.8415393114633182	0.8445035652206221	0.84951815471273
2023-12-21 00:39:01	147170141.99994904	-0.7827124256621004	0.4272601897096069	-0.45255937621870335	0.7827124256621004	-0.4272601897096069	0.45255937621870335	0.4372927375127731	0.8387613848078026	0.8417476818959563	0.8467104609439131
2023-12-21 00:39:10	147170163.80634397	-0.7785579106878204	0.4272703332809129	-0.45966035504863123	0.7785579106878204	-0.4272703332809129	0.45966035504863123	0.43080023152867575	0.8359622967126454	0.8389701238477064	0.8438799104322092
2023-12-21 00:39:18	147170188.55426937	-0.7743455157120244	0.42731335309639656	-0.4666822479612798	0.7743455157120244	-0.42731335309639656	0.4666822479612798	0.4243389498941784	0.8331493661119967	0.8361781593671461	0.8410338322288224
2023-12-21 00:39:27	147170211.18824434	-0.7700643737897079	0.4273196037013686	-0.4737075221192615	0.7700643737897079	-0.4273196037013686	0.4737075221192615	0.41781479631511154	0.8302631375247341	0.8333128250559592	0.8381139394401851
2023-12-21 00:39:36	147170236.8551518	-0.7657225824607692	0.42728786164158716	-0.4807223835056681	0.7657225824607692	-0.42728786164158716	0.4807223835056681	0.41123970352605427	0.8273081706576044	0.8303786414759504	0.8351248699977034
2023-12-21 00:39:44	147170260.45073375	-0.7613147960020725	0.42729816327858	-0.4876638812205339	0.7613147960020725	-0.42729816327858	0.4876638812205339	0.4046931389062296	0.8243407376420622	0.8274314137332301	0.8321214246000848
2023-12-21 00:39:53	147170284.52338323	-0.7568425656868467	0.4272640972477846	-0.4946056226607084	0.7568425656868467	-0.4272640972477846	0.4946056226607084	0.3980836112086764	0.8212972401520103	0.8244080626226402	0.8290415547416532
2023-12-21 00:40:01	147170311.4995269	-0.7523140928726247	0.42727276062855013	-0.5014593639469681	0.7523140928726247	-0.42727276062855013	0.5014593639469681	0.39151708863900647	0.8182483662802323	0.8213787140889863	0.8259544717653532
2023-12-21 00:40:10	147170336.40229565	-0.7477184863827052	0.4272484803630494	-0.508306798251825	0.7477184863827052	-0.4272484803630494	0.508306798251825	0.38489642773797145	0.8151301621114795	0.8182799158749883	0.8227974701292919
2023-12-21 00:40:19	147170364.33461386	-0.7430645083215218	0.4272802442750945	-0.5150599278968524	0.7430645083215218	-0.4272802442750945	0.5150599278968524	0.37832886993628545	0.8120150962706798	0.815183572810545	0.8196415250775556
2023-12-21 00:40:27	147170390.1047011	-0.7383466349755988	0.42727554233148646	-0.5218044246128469	0.7383466349755988	-0.42727554233148646	0.5218044246128469	0.37170835282707854	0.8088302523762999	0.8120173374463775	0.8164153011686736
2023-12-21 00:40:36	147170416.35440186	-0.7335614298065205	0.4273375710125194	-0.5284602436336467	0.7335614298065205	-0.4273375710125194	0.5284602436336467	0.36513868670693905	0.8056504895144323	0.8088554800786856	0.8131918176309958
2023-12-21 00:40:45	147170445.63314238	-0.7287230776940957	0.4272684543785829	-0.535167584901199	0.7287230776940957	-0.4272684543785829	0.535167584901199	0.35843287301882	0.802337400320856	0.8055606815858425	0.8098362508910413
