Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1	angPanel_2	angPanel_3
2023-12-21 00:04:10	147177694.2070047	83.82414076579573	64.71176833057402	26.136465665394002	96.17585923420427	115.28823166942597	153.86353433460602	45.34541715570918	75.52023143220204	75.82692030067075
2023-12-21 00:04:19	147177628.12912366	84.29900023644137	64.71109896866909	26.01335267444195	95.70099976355861	115.28890103133092	153.98664732555807	44.91607750290966	75.19344561418454	75.4996538879783
2023-12-21 00:04:27	147177564.50332162	84.77463710004987	64.71147492350904	25.898437839764714	95.22536289995013	115.28852507649096	154.10156216023532	44.48645112944655	74.8661064326565	75.17182081473794
2023-12-21 00:04:36	147177498.31628466	85.25029411262528	64.70989190178496	25.79499856367139	94.74970588737474	115.29010809821503	154.20500143632862	44.056051174006164	74.5366539303129	74.8418650243482
2023-12-21 00:04:45	147177432.07488495	85.7251854917296	64.71433866228712	25.69541535475347	94.2748145082704	115.2856613377129	154.30458464524654	43.62875068136238	74.2112044952171	74.51589519180185
2023-12-21 00:04:53	147177368.32488334	86.20151259115451	64.7118721970858	25.612150400008936	93.79848740884549	115.2881278029142	154.38784959999109	43.197432133343476	73.87922278562786	74.18338758017651
2023-12-21 00:05:02	147177301.96260396	86.67745246533676	64.71043773132374	25.537815270118667	93.32254753466326	115.28956226867626	154.46218472988133	42.7668922715974	73.54751316332404	73.85113997694322
2023-12-21 00:05:11	147177238.1952279	87.15317768318126	64.7190105170619	25.463511076455944	92.84682231681873	115.28098948293808	154.53648892354406	42.34065597649622	73.22225892607563	73.52532496466182
2023-12-21 00:05:19	147177171.76399687	87.62881964739303	64.71372138285986	25.41301812418795	92.37118035260698	115.28627861714014	154.58698187581206	41.90888330065654	72.88665658628673	73.18916658705523
2023-12-21 00:05:28	147177105.3308244	88.10452877730695	64.71443642727301	25.36662216630431	91.89547122269308	115.285563572727	154.6333778336957	41.4795510280595	72.55452996080305	72.85646535818849
2023-12-21 00:05:36	147177041.47994596	88.5804078504641	64.71831938483565	25.327182644307097	91.41959214953593	115.28168061516435	154.6728173556929	41.05144843757451	72.2238390754088	72.52518423421921
2023-12-21 00:05:45	147176975.01828578	89.05561565651654	64.71610183836471	25.304043794440496	90.94438434348348	115.28389816163529	154.69595620555953	40.62145596783081	71.88865174918992	72.18940354719113
